Title	Authors	Year	URL	Scale	Scale Category	Interaction modality	Input distribution	Output distribution	Feedback attributability	Activity type	Participation symmetry
Contagion	Gina Czarnecki	2006	https://www.ginaczarnecki.com/contagion	50	medium	ambient	centralized	centralized	medium	solitary	symmetrical
Footfalls	Tmema	2006	http://www.flong.com/projects/footfalls/	5	small	ambient	centralized	centralized	high	solitary	symmetrical
Long Harp	Jen Lewin	2006	http://jenlewinstudio.com/long-harp	10	small	direct	centralized	centralized	high	solitary	symmetrical
Radicaux libres	Jean Dubois et Philippe Jean	2006	http://www.jeandubois.info/blog/project/radicauxlibres/	50	medium	ambient	centralized	centralized	medium	solitary	symmetrical
Abundance	Camille Utterback	2007	http://camilleutterback.com/projects/abundance/	200	large	ambient	centralized	centralized	medium	solitary	symmetrical
Burble London	Usman Haque	2007	http://www.haque.co.uk/burblelondon.php	50	medium	direct	centralized	centralized	variable	collaborative	symmetrical
Evoke	Usman Haque	2007	http://www.haque.co.uk/evoke.php	200	large	ambient	centralized	centralized	medium	solitary	symmetrical
Interstitial Fragment Processor	Golan Levin	2007	http://www.flong.com/projects/ifp/	5	small	ambient	centralized	centralized	high	solitary	symmetrical
niform	Samuel Bianchini	2007	http://dispotheque.org/en/niform	10	small	ambient	centralized	centralized	high	solitary	symmetrical
Tous ensemble	Samuel Bianchini	2007	http://dispotheque.org/fr/tous-ensemble	8	small	facilitated	fully distributed	centralized	medium	collaborative	symmetrical
Contact	United Visual Artists	2008		20	medium	direct	centralized	centralized	high	solitary	symmetrical
Entanglement Witness	Todd Winkler	2008	http://www.brown.edu/Departments/Music/sites/winkler/entanglement/	10	small	ambient	centralized	centralized	medium	solitary	symmetrical
Optical Tone	Tsutomu Mutoh	2008	http://archive.aec.at/prix/showmode/11977/	5	small	direct	fully distributed	fully distributed	high	solitary	symmetrical
Primal Source	Usman Haque	2008	http://www.haque.co.uk/primalsource.php	500	large	ambient	centralized	centralized	variable	solitary	symmetrical
Still Moving	Maurice Benayoun	2008	http://benayoun.com/moben/2008/11/05/still-moving/	20	medium	direct	centralized	centralized	high	solitary	symmetrical
Valeurs croisées	Samuel Bianchini	2008	http://dispotheque.org/fr/valeurs-croisees	10	small	ambient	centralized	centralized	high	solitary	symmetrical
Big Screams	Elie Zananiri	2009	http://www.bigscreams.com/	30	medium	facilitated	fully distributed	centralized	high	competitive	symmetrical
Body Paint	Memo Akten	2009	http://www.memo.tv/bodypaint/	10	small	ambient	centralized	centralized	high	solitary	symmetrical
Discontrol Party	Samuel Bianchini	2009	http://dispotheque.org/en/discontrol-party	500	large	facilitated & ambient	partially distributed	centralized	medium	solitary	asymmetrical
Lights contacts	Scenocosme	2009	http://www.scenocosme.com/contacts_installation_en.htm	10	small	direct	centralized	centralized	high	collaborative	asymmetrical
Bloc Jam	Daily Tous Les Jours	2010	http://www.dailytouslesjours.com/project/bloc-jam/	40	medium	facilitated	fully distributed	partially distributed	high	collaborative	symmetrical
People on People	Rafael Lozano-Hemmer	2010	http://www.lozano-hemmer.com/people_on_people.php	50	medium	ambient	centralized	centralized	high	solitary	symmetrical
21 Balançoires	Daily Tous Les Jours	2011	http://www.dailytouslesjours.com/project/21-balancoires/	21	medium	direct	fully distributed	fully distributed	high	collaborative	symmetrical
Dancing House	Klaus Obermaier	2011	http://www.exile.at/dancing_house/	5	small	ambient	centralized	centralized	high	solitary	symmetrical
Fluides	Scenocosme	2011	http://www.scenocosme.com/fluides_e.htm	4	small	direct	centralized	centralized	high	solitary	symmetrical
